Matricula,Marca,Modelo,Precio
5136MWY,MERCEDES,CLA,42900
6030MSH,KIA,XCEED,21900
2628MDM,LAND ROVER,DEFENDER,73500
5395MDY,KIA,SPORTAGE,32495
6739MMM,MITSUBISHI,Eclipse Cross,34900
7860MPF,KIA,STONIC,20500
8216MNP,KIA,SPORTAGE,29500
6696MPJ,MERCEDES,GLA,49900
8259LBX,MERCEDES,VITO,34900
6022MLX,KIA,CEED,21900
3533MML,SUBARU,XV,31900
2660MLD,VOLVO,XC60,46900
4677MLF,MERCEDES,GLC,63900
3073MMV,MERCEDES,V-CLASS,70900
5692LYJ,MERCEDES,VITO,38500
5477MLS,VOLVO,XC60,43500
0543MDF,VOLVO,XC40,45000
4014MSW,KIA,STONIC,17500
4671MLF,MERCEDES,CLA,41400
2474MDF,MERCEDES,B-CLASS,33495
9728MPV,KIA,PICANTO,14700
9951MMB,MERCEDES,CLE,62900
7948MGT,MERCEDES,A-CLASS,33900
7415MNZ,MERCEDES,CLE,66900
4618MLF,MERCEDES,B-CLASS,33500
3897MWM,MERCEDES,C-CLASS,51900
3159MGR,KIA,EV6,39500
4660MKZ,KIA,EV6,45500
0678MHG,KIA,XCEED,28900
7250MMZ,FIAT,SEICENTO,28900
6700MST,KIA,SPORTAGE,31900
5598MDL,KIA,PICANTO,11900
8122MTL,MERCEDES,GLC,67900
4590MBP,MERCEDES,EQV,65000
2241LZR,KIA,NIRO,30900
6260LNY,MERCEDES,GLC-CLASS,43900
6203MCP,JEEP,Renegade,30900
0547MDF,VOLVO,XC40,45000
6553LYK,FIAT,500,17995
6034MLX,KIA,CEED,18500
6031MSH,KIA,SPORTAGE,32500
8121MTL,MERCEDES,C-CLASS,59900
8696LXR,VOLVO,XC60,41900
0286MLW,MERCEDES,GLA,44900
3901MWM,MERCEDES,CLA,45500
1874LFC,MERCEDES,A-CLASS,27500
7788MWH,MERCEDES,CLA,42900
9624MPV,KIA,PICANTO,14700
2320LRG,HONDA,Civic,22900
3398LRF,MERCEDES,EQV,58500
1166MHZ,KIA,NIRO,33500
8965MVS,MERCEDES,GLC,64900
0767MPY,KIA,XCEED,20500
4125MFG,VOLVO,XC40,41500
4611MJX,MERCEDES,EQB,44900
7785MWH,MERCEDES,A-CLASS,35900
4105LZS,MERCEDES,A-CLASS,30500
4119LZB,MG,MG5,23900
3754MKR,KIA,NIRO,31900
6945MVV,MERCEDES,C-CLASS,48500
5428MDY,KIA,XCEED,28900
7499MFM,KIA,XCEED,28900
3254MGB,ABARTH,500,22500
2692MXM,KIA,PICANTO,15900
9236LYP,JEEP,COMPASS,34495
7060MDG,MERCEDES,EQB,44900
9577MPV,KIA,PICANTO,14700
8232MNP,KIA,NIRO,34500
8012MMH,VOLVO,EX30,41900
6045MLX,KIA,CEED,20500
6286MFZ,MERCEDES,B-CLASS,33900
2033MBP,MERCEDES,EQE,50900
6377MFZ,MERCEDES,B-CLASS,33900
2845MXJ,MERCEDES,GLA,53500
2701MJM,VOLVO,XC40,42500
3896MWM,MERCEDES,B-CLASS,39900
5520MLS,VOLVO,XC60,45900
1109MHZ,KIA,XCEED,28900
1041MHZ,KIA,NIRO,31900
7294LVF,MERCEDES,VITO,34900
1964MST,MERCEDES,Sprinter,45500
2600MXJ,MERCEDES,GLA,51900
2691MTL,MERCEDES,B-CLASS,41500
6084MLX,KIA,CEED,21900
9928MPV,KIA,PICANTO,14700
0271LSG,MAXUS,E-DELIVER 3,29900
5567NCH,VOLVO,XC40,39400
6223MFZ,MERCEDES,B-CLASS,33900
6402LWX,MAXUS,EUNIQ 5,39900
3828MMD,VOLVO,S60,36900
2695MTL,MERCEDES,B-CLASS,41500
5323LXH,MERCEDES,GLC-CLASS,53900
6699MST,KIA,CEED,26900
7567MJB,MERCEDES,CLA,44500
1919MMM,MERCEDES,B-CLASS,33900
6064MLX,KIA,CEED,18500
9815MPV,KIA,PICANTO,14700
4734MNW,KIA,PICANTO,14700
7758MWH,MERCEDES,CLA,42900
6372MFZ,MERCEDES,B-CLASS,33900
3898MWM,MERCEDES,CLA,39900
3755MKR,KIA,XCEED,29900
2762LXD,JEEP,COMPASS,29900
9058MHK,MERCEDES,VITO,57500
7838LNZ,VOLVO,V60,36500
0983JKG,MERCEDES,G-CLASS,88900
6131LGS,MERCEDES,B-CLASS,29900
9100LHV,MERCEDES,E-CLASS,50495
6222MFZ,MERCEDES,B-CLASS,33900
7127MVB,MERCEDES,A-CLASS,37500
3015LZD,MERCEDES,EQS,97900
3855MTL,MERCEDES,CLA,42500
8591MLX,VOLVO,XC90,80000
3922LTR,KIA,EV6,39500
4238JRT,MERCEDES,S-CLASS,39900
0294LZR,Alfa Romeo,Giulia,41200
5094MWY,MERCEDES,A-CLASS,38900
1577MVK,KIA,XCEED,21900
3906MWM,MERCEDES,B-CLASS,41500
9925MPV,KIA,PICANTO,14700
6697MST,KIA,CEED,23500
8585MLX,VOLVO,XC40,42000
0559MHL,VOLVO,XC40,45900
4602MJX,MERCEDES,EQE,75500
5615NCH,VOLVO,XC40,39900
7613MDB,JEEP,Renegade,29900
8016LTM,KIA,NIRO,22900
8970MVS,MERCEDES,GLE,99900
2620MXJ,MERCEDES,GLA,49900
7122MVB,MERCEDES,A-CLASS,37500
7783MWH,MERCEDES,A-CLASS,35900
4837LKB,KIA,NIRO,22900
6965LCJ,SUBARU,FORESTER,24900
6214MFZ,MERCEDES,B-CLASS,33900
1121MHZ,KIA,NIRO,33900
1137KTM,MAXUS,EV80,48400
3900LYX,FIAT,500,17995
7786LNR,MERCEDES,B-CLASS,29895
